loan_id,no_of_dependents,education,self_employed,loan_term,cibil_score,loan_status,income_annum_usd,loan_amount_usd,residential_assets_usd,commercial_assets_usd,luxury_assets_usd,bank_assets_usd
71,4, Not Graduate, Yes,20,340, Rejected,6024.096385542169,18072.289156626506,1204.8192771084337,2409.6385542168673,22891.566265060243,7228.915662650603
72,5, Graduate, Yes,4,386, Approved,63855.42168674699,224096.38554216866,32530.12048192771,116867.46987951807,143373.4939759036,50602.409638554214
73,5, Not Graduate, No,4,418, Rejected,84337.34939759035,220481.92771084336,221686.7469879518,140963.85542168675,259036.14457831325,91566.26506024097
74,3, Not Graduate, Yes,16,735, Approved,69879.51807228915,201204.81927710844,46987.951807228914,113253.01204819277,151807.22891566265,67469.8795180723
75,2, Not Graduate, No,6,494, Rejected,31325.301204819276,101204.81927710843,78313.2530120482,45783.132530120485,67469.8795180723,24096.385542168675
76,2, Not Graduate, No,18,671, Approved,22891.566265060243,78313.2530120482,7228.915662650603,30120.481927710844,57831.32530120482,13253.012048192772
77,4, Graduate, No,16,697, Approved,68674.69879518072,178313.2530120482,172289.156626506,93975.90361445783,155421.68674698795,75903.61445783133
78,0, Graduate, No,8,801, Approved,108433.73493975903,403614.4578313253,139759.0361445783,107228.9156626506,426506.0240963855,133734.93975903615
79,2, Not Graduate, No,12,576, Approved,102409.63855421687,354216.8674698795,212048.19277108434,67469.8795180723,303614.4578313253,108433.73493975903
80,0, Not Graduate, No,14,639, Approved,8433.734939759037,16867.469879518074,22891.566265060243,8433.734939759037,28915.66265060241,10843.373493975903
81,4, Graduate, No,4,470, Rejected,42168.67469879518,107228.9156626506,15662.650602409638,26506.024096385543,148192.77108433735,24096.385542168675
82,0, Not Graduate, No,4,826, Approved,106024.09638554217,375903.6144578313,34939.75903614458,6024.096385542169,401204.8192771084,103614.4578313253
83,2, Not Graduate, Yes,16,363, Rejected,119277.10843373495,255421.68674698795,307228.9156626506,137349.39759036145,320481.9277108434,81927.7108433735
84,3, Graduate, No,20,613, Approved,43373.49397590361,103614.4578313253,113253.01204819277,3614.4578313253014,124096.38554216867,39759.03614457831
85,3, Not Graduate, Yes,16,713, Approved,36144.57831325301,98795.18072289157,63855.42168674699,69879.51807228915,132530.1204819277,40963.85542168675
86,2, Graduate, No,16,439, Rejected,81927.7108433735,255421.68674698795,206024.09638554216,56626.50602409639,280722.8915662651,43373.49397590361
87,5, Not Graduate, Yes,18,387, Rejected,13253.012048192772,45783.132530120485,15662.650602409638,14457.831325301206,45783.132530120485,19277.10843373494
88,1, Not Graduate, Yes,8,402, Rejected,104819.27710843373,340963.8554216867,245783.1325301205,163855.421686747,336144.578313253,122891.56626506025
89,4, Graduate, Yes,6,837, Approved,24096.385542168675,96385.5421686747,61445.78313253012,31325.301204819276,46987.951807228914,34939.75903614458
90,2, Not Graduate, No,10,641, Approved,118072.2891566265,453012.0481927711,290361.4457831325,0.0,281927.7108433735,91566.26506024097
91,4, Graduate, No,18,489, Rejected,68674.69879518072,254216.8674698795,6024.096385542169,51807.22891566265,150602.4096385542,72289.15662650602
92,4, Graduate, No,18,540, Rejected,106024.09638554217,249397.5903614458,231325.3012048193,38554.21686746988,269879.5180722892,153012.0481927711
93,4, Graduate, No,4,844, Approved,45783.132530120485,107228.9156626506,109638.55421686747,42168.67469879518,157831.3253012048,56626.50602409639
94,1, Graduate, No,10,452, Rejected,20481.927710843374,77108.43373493975,10843.373493975903,13253.012048192772,67469.8795180723,25301.204819277107
95,2, Graduate, No,10,366, Rejected,12048.192771084337,24096.385542168675,14457.831325301206,4819.277108433735,38554.21686746988,15662.650602409638
96,5, Graduate, No,2,300, Approved,3614.4578313253014,13253.012048192772,1204.8192771084337,6024.096385542169,8433.734939759037,4819.277108433735
97,2, Graduate, Yes,18,470, Rejected,79518.07228915663,180722.89156626505,14457.831325301206,57831.32530120482,219277.10843373495,84337.34939759035
98,2, Not Graduate, No,20,861, Approved,104819.27710843373,301204.8192771084,177108.43373493975,102409.63855421687,279518.0722891566,87951.80722891567
99,4, Graduate, No,12,562, Approved,113253.01204819277,354216.8674698795,312048.1927710843,183132.53012048194,438554.2168674699,85542.1686746988
100,0, Graduate, No,14,463, Rejected,53012.048192771086,130120.48192771085,28915.66265060241,57831.32530120482,166265.06024096385,56626.50602409639
101,4, Not Graduate, No,12,478, Rejected,4819.277108433735,10843.373493975903,8433.734939759037,1204.8192771084337,14457.831325301206,1204.8192771084337
102,2, Not Graduate, Yes,2,702, Approved,3614.4578313253014,13253.012048192772,3614.4578313253014,2409.6385542168673,6024.096385542169,2409.6385542168673
103,2, Not Graduate, Yes,20,618, Approved,51807.22891566265,155421.68674698795,137349.39759036145,43373.49397590361,137349.39759036145,28915.66265060241
104,4, Graduate, No,12,633, Approved,19277.10843373494,54216.867469879515,8433.734939759037,20481.927710843374,49397.590361445786,22891.566265060243
105,5, Not Graduate, Yes,10,331, Rejected,74698.7951807229,284337.3493975904,222891.56626506025,124096.38554216867,286746.9879518072,104819.27710843373
106,3, Not Graduate, Yes,16,841, Approved,50602.409638554214,116867.46987951807,93975.90361445783,3614.4578313253014,201204.81927710844,61445.78313253012
107,4, Not Graduate, Yes,12,764, Approved,108433.73493975903,218072.2891566265,7228.915662650603,198795.18072289156,250602.4096385542,139759.0361445783
108,0, Graduate, No,6,591, Approved,32530.12048192771,127710.84337349398,15662.650602409638,32530.12048192771,119277.10843373495,21686.746987951807
109,1, Graduate, Yes,2,719, Approved,116867.46987951807,432530.1204819277,236144.578313253,91566.26506024097,245783.1325301205,131325.3012048193
110,2, Graduate, No,14,317, Rejected,39759.03614457831,81927.7108433735,40963.85542168675,3614.4578313253014,140963.85542168675,43373.49397590361
111,0, Not Graduate, No,8,778, Approved,3614.4578313253014,13253.012048192772,9638.55421686747,2409.6385542168673,10843.373493975903,1204.8192771084337
112,3, Graduate, Yes,14,302, Rejected,89156.6265060241,219277.10843373495,67469.8795180723,37349.39759036145,215662.65060240965,60240.96385542169
113,5, Not Graduate, No,8,502, Rejected,85542.1686746988,237349.39759036145,87951.80722891567,67469.8795180723,304819.2771084337,118072.2891566265
114,5, Not Graduate, Yes,18,879, Approved,87951.80722891567,266265.0602409639,234939.7590361446,127710.84337349398,232530.1204819277,118072.2891566265
115,1, Not Graduate, No,14,437, Rejected,101204.81927710843,281927.7108433735,185542.1686746988,69879.51807228915,402409.6385542169,97590.36144578313
116,0, Not Graduate, Yes,12,797, Approved,39759.03614457831,130120.48192771085,7228.915662650603,72289.15662650602,92771.0843373494,39759.03614457831
117,4, Not Graduate, Yes,18,456, Rejected,69879.51807228915,279518.0722891566,193975.90361445784,50602.409638554214,272289.156626506,90361.44578313253
118,0, Not Graduate, No,6,647, Approved,7228.915662650603,19277.10843373494,18072.289156626506,7228.915662650603,18072.289156626506,8433.734939759037
119,0, Not Graduate, No,12,379, Rejected,86746.98795180723,190361.44578313254,153012.0481927711,146987.9518072289,259036.14457831325,43373.49397590361
120,1, Not Graduate, Yes,2,717, Approved,109638.55421686747,396385.5421686747,26506.024096385543,24096.385542168675,284337.3493975904,71084.3373493976
121,5, Graduate, No,16,545, Rejected,10843.373493975903,27710.843373493975,1204.8192771084337,2409.6385542168673,32530.12048192771,9638.55421686747
122,2, Graduate, No,8,317, Rejected,9638.55421686747,38554.21686746988,3614.4578313253014,12048.192771084337,24096.385542168675,10843.373493975903
123,1, Not Graduate, No,10,570, Approved,102409.63855421687,396385.5421686747,61445.78313253012,74698.7951807229,246987.9518072289,66265.06024096385
124,0, Not Graduate, Yes,18,865, Approved,108433.73493975903,225301.2048192771,322891.5662650602,0.0,251807.22891566265,136144.578313253
125,3, Graduate, No,14,719, Approved,84337.34939759035,234939.7590361446,146987.9518072289,124096.38554216867,219277.10843373495,122891.56626506025
126,3, Graduate, No,16,821, Approved,2409.6385542168673,7228.915662650603,4819.277108433735,1204.8192771084337,6024.096385542169,1204.8192771084337
127,4, Not Graduate, Yes,10,859, Approved,4819.277108433735,9638.55421686747,10843.373493975903,6024.096385542169,9638.55421686747,2409.6385542168673
128,3, Not Graduate, No,10,395, Rejected,61445.78313253012,219277.10843373495,1204.8192771084337,96385.5421686747,186746.98795180724,75903.61445783133
129,2, Not Graduate, Yes,12,429, Rejected,8433.734939759037,31325.301204819276,19277.10843373494,15662.650602409638,32530.12048192771,9638.55421686747
130,3, Graduate, No,12,861, Approved,4819.277108433735,14457.831325301206,2409.6385542168673,7228.915662650603,13253.012048192772,2409.6385542168673
131,0, Not Graduate, Yes,14,565, Approved,114457.8313253012,250602.4096385542,181927.7108433735,143373.4939759036,408433.734939759,161445.7831325301
132,5, Graduate, No,10,357, Rejected,106024.09638554217,272289.156626506,95180.72289156627,103614.4578313253,219277.10843373495,59036.14457831325
133,3, Not Graduate, Yes,18,465, Rejected,21686.746987951807,43373.49397590361,7228.915662650603,6024.096385542169,65060.24096385542,31325.301204819276
134,4, Not Graduate, Yes,8,479, Rejected,81927.7108433735,167469.8795180723,140963.85542168675,109638.55421686747,309638.5542168675,115662.65060240965
135,3, Not Graduate, No,16,717, Approved,18072.289156626506,66265.06024096385,25301.204819277107,9638.55421686747,53012.048192771086,15662.650602409638
136,3, Graduate, No,12,425, Rejected,19277.10843373494,66265.06024096385,7228.915662650603,9638.55421686747,65060.24096385542,10843.373493975903
137,2, Not Graduate, No,2,786, Approved,55421.68674698795,201204.81927710844,2409.6385542168673,71084.3373493976,167469.8795180723,73493.97590361445
138,5, Not Graduate, Yes,6,382, Rejected,26506.024096385543,80722.89156626505,53012.048192771086,15662.650602409638,103614.4578313253,13253.012048192772
139,3, Not Graduate, Yes,12,564, Approved,34939.75903614458,102409.63855421687,12048.192771084337,37349.39759036145,90361.44578313253,21686.746987951807
140,0, Graduate, No,8,501, Rejected,2409.6385542168673,8433.734939759037,6024.096385542169,2409.6385542168673,8433.734939759037,1204.8192771084337
141,2, Not Graduate, Yes,10,727, Approved,30120.481927710844,113253.01204819277,79518.07228915663,49397.590361445786,114457.8313253012,39759.03614457831
142,4, Not Graduate, No,6,894, Approved,43373.49397590361,90361.44578313253,13253.012048192772,78313.2530120482,89156.6265060241,33734.93975903615
143,0, Graduate, Yes,18,829, Approved,66265.06024096385,201204.81927710844,66265.06024096385,15662.650602409638,154216.8674698795,71084.3373493976
144,4, Not Graduate, No,20,506, Rejected,79518.07228915663,209638.55421686746,31325.301204819276,120481.92771084337,312048.1927710843,86746.98795180723
145,2, Graduate, Yes,6,802, Approved,103614.4578313253,386746.9879518072,113253.01204819277,201204.81927710844,295180.7228915663,118072.2891566265
146,5, Not Graduate, No,14,543, Rejected,7228.915662650603,18072.289156626506,3614.4578313253014,10843.373493975903,25301.204819277107,3614.4578313253014
147,3, Graduate, Yes,20,772, Approved,16867.469879518074,38554.21686746988,28915.66265060241,10843.373493975903,61445.78313253012,19277.10843373494
148,3, Graduate, No,12,572, Approved,48192.77108433735,133734.93975903615,116867.46987951807,1204.8192771084337,150602.4096385542,28915.66265060241
149,0, Not Graduate, Yes,16,709, Approved,59036.14457831325,143373.4939759036,175903.61445783134,10843.373493975903,222891.56626506025,45783.132530120485
150,5, Graduate, No,18,402, Rejected,24096.385542168675,74698.7951807229,48192.77108433735,25301.204819277107,86746.98795180723,13253.012048192772
151,1, Not Graduate, Yes,8,481, Rejected,62650.60240963855,232530.1204819277,172289.156626506,114457.8313253012,226506.02409638555,50602.409638554214
152,5, Graduate, Yes,6,772, Approved,107228.9156626506,346987.9518072289,163855.421686747,66265.06024096385,245783.1325301205,101204.81927710843
153,1, Graduate, Yes,2,306, Approved,78313.2530120482,248192.77108433735,191566.26506024096,22891.566265060243,218072.2891566265,38554.21686746988
154,2, Not Graduate, No,6,415, Rejected,15662.650602409638,54216.867469879515,0.0,10843.373493975903,34939.75903614458,14457.831325301206
155,3, Not Graduate, No,16,548, Rejected,113253.01204819277,421686.7469879518,219277.10843373495,53012.048192771086,434939.7590361446,57831.32530120482
156,5, Not Graduate, No,8,701, Approved,60240.96385542169,134939.7590361446,109638.55421686747,6024.096385542169,168674.6987951807,55421.68674698795
157,2, Graduate, No,12,890, Approved,36144.57831325301,92771.0843373494,56626.50602409639,51807.22891566265,101204.81927710843,25301.204819277107
158,5, Not Graduate, Yes,6,364, Rejected,119277.10843373495,401204.8192771084,63855.42168674699,225301.2048192771,334939.7590361446,100000.0
159,5, Graduate, Yes,20,704, Approved,8433.734939759037,15662.650602409638,19277.10843373494,0.0,26506.024096385543,7228.915662650603
160,3, Graduate, Yes,10,318, Rejected,48192.77108433735,127710.84337349398,18072.289156626506,61445.78313253012,96385.5421686747,59036.14457831325
161,5, Not Graduate, No,2,761, Approved,37349.39759036145,115662.65060240965,69879.51807228915,21686.746987951807,125301.2048192771,50602.409638554214
162,4, Not Graduate, No,6,693, Approved,54216.867469879515,181927.7108433735,44578.31325301205,18072.289156626506,214457.8313253012,72289.15662650602
163,3, Not Graduate, No,16,524, Rejected,116867.46987951807,248192.77108433735,291566.265060241,133734.93975903615,330120.4819277108,73493.97590361445
164,2, Not Graduate, Yes,10,681, Approved,24096.385542168675,63855.42168674699,59036.14457831325,16867.469879518074,51807.22891566265,34939.75903614458
165,2, Graduate, Yes,18,737, Approved,97590.36144578313,268674.6987951807,268674.6987951807,151807.22891566265,325301.2048192771,87951.80722891567
166,0, Not Graduate, No,16,638, Approved,68674.69879518072,191566.26506024096,1204.8192771084337,114457.8313253012,196385.5421686747,54216.867469879515
167,4, Not Graduate, No,2,656, Approved,69879.51807228915,154216.8674698795,6024.096385542169,60240.96385542169,192771.0843373494,33734.93975903615
168,1, Graduate, No,6,540, Rejected,21686.746987951807,78313.2530120482,30120.481927710844,38554.21686746988,60240.96385542169,13253.012048192772
169,4, Not Graduate, Yes,6,341, Rejected,109638.55421686747,424096.3855421687,12048.192771084337,3614.4578313253014,278313.2530120482,98795.18072289157
170,0, Not Graduate, Yes,2,371, Approved,57831.32530120482,210843.3734939759,140963.85542168675,81927.7108433735,225301.2048192771,42168.67469879518
171,3, Not Graduate, Yes,12,886, Approved,45783.132530120485,126506.02409638555,48192.77108433735,6024.096385542169,179518.07228915664,27710.843373493975
172,0, Not Graduate, No,18,801, Approved,22891.566265060243,49397.590361445786,4819.277108433735,9638.55421686747,57831.32530120482,14457.831325301206
173,3, Not Graduate, Yes,16,748, Approved,43373.49397590361,114457.8313253012,92771.0843373494,28915.66265060241,116867.46987951807,31325.301204819276
174,2, Not Graduate, Yes,8,376, Rejected,89156.6265060241,339759.0361445783,263855.421686747,60240.96385542169,209638.55421686746,62650.60240963855
175,4, Not Graduate, Yes,8,371, Rejected,79518.07228915663,172289.156626506,130120.48192771085,114457.8313253012,222891.56626506025,89156.6265060241
176,2, Graduate, No,6,826, Approved,21686.746987951807,63855.42168674699,54216.867469879515,8433.734939759037,78313.2530120482,15662.650602409638
177,4, Not Graduate, No,12,873, Approved,110843.3734939759,327710.843373494,54216.867469879515,21686.746987951807,407228.9156626506,137349.39759036145
178,5, Not Graduate, Yes,8,309, Rejected,28915.66265060241,103614.4578313253,6024.096385542169,7228.915662650603,68674.69879518072,33734.93975903615
179,4, Not Graduate, No,20,869, Approved,67469.8795180723,160240.9638554217,39759.03614457831,90361.44578313253,240963.85542168675,78313.2530120482
180,5, Graduate, No,12,534, Rejected,45783.132530120485,167469.8795180723,56626.50602409639,34939.75903614458,98795.18072289157,33734.93975903615
181,3, Not Graduate, Yes,6,787, Approved,54216.867469879515,215662.65060240965,118072.2891566265,43373.49397590361,172289.156626506,50602.409638554214
182,0, Graduate, Yes,16,566, Approved,10843.373493975903,26506.024096385543,1204.8192771084337,8433.734939759037,24096.385542168675,7228.915662650603
183,0, Not Graduate, No,8,742, Approved,33734.93975903615,119277.10843373495,59036.14457831325,15662.650602409638,80722.89156626505,20481.927710843374
184,2, Not Graduate, No,4,824, Approved,90361.44578313253,278313.2530120482,145783.1325301205,131325.3012048193,316867.4698795181,114457.8313253012
185,4, Graduate, No,14,575, Approved,16867.469879518074,37349.39759036145,36144.57831325301,25301.204819277107,59036.14457831325,16867.469879518074
186,2, Graduate, Yes,10,766, Approved,45783.132530120485,131325.3012048193,22891.566265060243,46987.951807228914,103614.4578313253,36144.57831325301
187,1, Not Graduate, Yes,10,888, Approved,20481.927710843374,60240.96385542169,34939.75903614458,10843.373493975903,49397.590361445786,26506.024096385543
188,3, Graduate, Yes,6,638, Approved,108433.73493975903,366265.0602409639,202409.63855421686,132530.1204819277,324096.3855421687,110843.3734939759
189,5, Not Graduate, Yes,6,622, Approved,87951.80722891567,280722.8915662651,85542.1686746988,139759.0361445783,318072.2891566265,126506.02409638555
190,1, Not Graduate, No,18,458, Rejected,89156.6265060241,238554.2168674699,151807.22891566265,74698.7951807229,333734.9397590361,48192.77108433735
191,1, Not Graduate, No,16,327, Rejected,108433.73493975903,339759.0361445783,20481.927710843374,27710.843373493975,289156.6265060241,134939.7590361446
192,0, Not Graduate, No,2,612, Approved,36144.57831325301,78313.2530120482,106024.09638554217,40963.85542168675,80722.89156626505,20481.927710843374
193,1, Graduate, No,8,682, Approved,9638.55421686747,34939.75903614458,26506.024096385543,13253.012048192772,34939.75903614458,8433.734939759037
194,2, Graduate, No,2,583, Approved,57831.32530120482,159036.14457831325,165060.2409638554,69879.51807228915,114457.8313253012,62650.60240963855
195,5, Not Graduate, No,8,697, Approved,77108.43373493975,220481.92771084336,120481.92771084337,43373.49397590361,271084.3373493976,43373.49397590361
196,3, Graduate, No,12,306, Rejected,110843.3734939759,326506.0240963855,69879.51807228915,138554.2168674699,337349.3975903614,115662.65060240965
197,4, Not Graduate, Yes,2,669, Approved,4819.277108433735,18072.289156626506,-1204.8192771084337,7228.915662650603,10843.373493975903,6024.096385542169
198,2, Not Graduate, No,18,816, Approved,33734.93975903615,72289.15662650602,75903.61445783133,50602.409638554214,96385.5421686747,40963.85542168675
